Subj,Condition,Language,Know,Know_Time,Control_Bob,Control_Sue,Felicity,Fel_Time,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
204,2,1,6,97.911,9,9,6,28.124,22,32,2,,,,1,,,,,5,6
205,2,1,5,5.359,9,9,6,2.935,21,24,2,,1,,,,,,,5,5
206,2,1,7,95.094,9,9,7,14.96,21,30,1,,,1,,,1,,,4,5
207,2,1,5,31.593,9,9,5,14.308,21,26,1,,,1,,,,,,5,8
208,2,1,6,40.934,9,9,7,18.28,21,25,2,,,,,,1,,,4,8
209,2,1,7,91.162,9,9,7,9.799,21,23,1,,,1,,,,,,3,9
210,2,1,3,28.794,9,9,5,10.694,21,43,1,,,,,,1,,,5,4
211,2,1,6,38.703,9,9,5,11.267,21,27,2,,,,,,1,,,6,5
212,2,1,6,57.3,9,9,6,28.824,21,32,1,,,,1,,,,,5,6
213,2,1,6,32.821,9,9,6,14.12,21,22,1,,,,,,1,,,5,5
214,1,1,7,31.216,9,9,7,12.303,21,33,2,,,,,,1,,,4,7
215,1,1,7,53.262,9,9,7,52.473,21,20,1,,,,,,1,,,4,6
216,1,1,7,40.657,9,9,7,17.8,21,18,1,,,,1,,,,,2,8
217,1,1,5,44.675,9,9,7,14.971,21,53,2,,,,,,1,,,5,4
218,1,1,7,45.971,9,9,7,17.058,21,29,2,,,,,,1,,,5,7
219,1,1,7,30.046,9,9,7,16.848,21,31,1,,,,,,1,,,2,7
220,1,1,7,30.134,9,9,7,13.395,21,21,1,,,,,1,,,,4,8
221,1,1,6,77.844,9,9,6,14.749,21,26,1,,,,,,1,,,5,7
222,1,1,6,65.385,9,9,7,15.37,21,31,2,,,,,,1,,,5,6
223,1,1,7,54.324,9,9,7,29.691,22,40,2,,,,,,1,,,4,6
224,1,1,6,44.375,9,9,7,10.56,21,19,1,,,,,,1,,,4,4
